Institusi,Halaman Terdeface,Attacker,H,M,R,Lokasi,Kejadian,Arsip,OS
,"rancapaku.tasikmalayakab.go.id...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015205,
,"bundaliterasi.tasikmalayakab.g...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015204,
,"pkk.tasikmalayakab.go.id/image...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015203,
,"coreweb.tasikmalayakab.go.id/i...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015202,
,"guranteng.tasikmalayakab.go.id...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015151,
,"kesbang.tasikmalayakab.go.id/i...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015148,
,"dinasputrpp.tasikmalayakab.go....
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015147,
,"setda.tasikmalayakab.go.id/ima...
							",Royal Battler BD,,M,R,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015146,
,"dinkespp.tasikmalayakab.go.id/...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015144,
,"kesbangpol.tasikmalayakab.go.i...
							",Royal Battler BD,,M,,"b'<td><img alt=""Indonesia"" src=""/images/cflags/png/id.png"" title=""Indonesia""/></td>'",2021-04-29,www.zone-h.org/mirror/id/35015143,
